DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
91141823E,949756,PreZëncial,07657,+34 737330229,04/03/1988,M,nkprsgoj@gmail.com,07915,0.0,False,True,False,B1,True,True,Sí,8.41,7.14,6.32,4.03,7.93,Ses Salines
96810972Q,8111688,Correu electrònic,07991,+34 968636227,16/05/1974,M,lcipieya@hotmail.com,07158,0.0,False,True,False,B1,True,True,Sí,0.0,6.36,NP,3.13,5.83,Petra
12346110D,2632595,Certificat digital,07121,+34 823859007,19/09/1974,M,ursesvcsd@example.com,07915,0.0,False,True,False,C1,True,True,Sí,4.86,10.0,6.91,7.28,NP,Alcúdia
43398767K,8324497,PreZëncial,07740,+34 458469266,25/05/1993,M,xljmjuoexb@outlook.com,07222,0.0,False,True,False,C1,True,True,Sí,3.38,9.05,8.39,0.0,9.05,Ciutadella de Menorca
MT768441,3186144,PreZëncial,07516,+34 184115755,17/12/2003,F,xogzaqyj@gmail.com,07516,0.0,False,True,False,C2,True,False,No,2.06,10.0,6.29,4.01,10.0,Santanyí
75545060L,4350340,PreZëncial,07038,+34 252522808,23/11/1995,F,htvkurp@gmail.com,07494,0.0,False,True,False,A2,True,True,Sí,7.36,6.81,7.23,2.03,3.04,Consell
HP915901,1177874,Certificat digital,07603,+34 717471582,04/08/1975,N,yhdruh@gmail.com,07805,0.0,False,True,False,B2,True,True,Si,4.09,9.73,5.63,10.0,NP,Son Servera
88438049J,2807772,PreZëncial,07737,+34 169404639,12/06/1998,M,pfxyqsanwv@yahoo.com,07360,0.0,False,True,False,A2,True,True,Sí,1.36,7.66,7.45,6.97,7.74,Mahón (Maó)
34635970V,8637191,PreZëncial,07500,+34 940631042,05/05/1997,F,ipefxnn@hotmail.com,07500,11.0,False,True,False,B2,True,True,Sí,7.82,9.24,5.23,6.54,7.16,Campos
33155239A,6995017,PreZëncial,07737,+34 727727925,20/12/1973,M,isvbjwab@gmail.com,07805,0.0,False,True,False,C1,True,True,Sí,10.0,10.0,NP,2.86,4.97,Mahón (Maó)
07383573K,5820823,PreZëncial,07805,+34 666316602,30/11/1984,F,qagus@yahoo.com,07603,70.0,True,True,False,C2,True,True,Si,2.85,6.56,8.39,2.93,4.24,Ibiza
86025284V,3551879,PreZëncial,07500,+34 208960585,25/03/1985,M,zmktgqv@outlook.com,07805,0.0,False,True,False,A2,True,True,Sí,7.63,8.17,7.54,5.81,1.54,Campos
11352820C,4782319,PreZëncial,07500,+34 391077878,11/06/1993,M,voajnmcifr@outlook.com,07595,0.0,False,True,False,C2,True,True,No,NP,,6.44,5.89,4.35,Campos
35050055X,8562023,PreZëncial,07603,+34 725343114,13/08/2003,F,sqzkaz@example.com,07805,0.0,False,True,False,B1,True,True,Sí,10.0,7.01,5.71,5.4,4.46,Son Servera
KW388656,796387,PreZëncial,07991,+34 731860859,09/09/2005,F,xgmubwnjz@gmail.com,07603,0.0,False,True,False,C1,True,True,Sí,0.59,NP,7.83,4.16,1.84,Petra
50642091R,3735418,PreZëncial,07038,+34 474693478,25/07/1986,M,nlfwtkk@gmail.com,07612,0.0,False,True,False,C2,True,True,Sí,9.42,8.14,6.39,1.4,8.13,Consell
41323878P,4207852,Correu electrònic,07126,+34 297319683,22/09/1982,M,wkqjhvwjct@gmail.com,07991,0.0,False,True,False,B2,True,True,Sí,0.0,8.33,NP,3.67,6.4,Santa Eulalia del Río (Santa Eulària des Riu)
39232884J,4115505,Certificat digital,07805,+34 838174605,18/01/1984,M,gnehsnj@hotmail.com,07805,0.0,False,True,False,A2,True,True,Sí,7.12,NP,,0.93,4.75,Ibiza
57719681P,1360522,PreZëncial,07431,+34 015697924,14/04/2000,M,pxvbn@gmail.com,07818,0.0,False,True,False,B1,True,True,Sí,10.0,8.34,8.05,10.0,NP,Palma de Mallorca
00322029Y,6299367,PreZëncial,07038,+34 883929467,23/03/1997,F,qmbjvtcvni@hotmail.com,07915,0.0,False,True,False,C1,True,True,Si,5.64,NP,5.58,10.0,5.09,Consell
93243320D,961629,PreZëncial,07991,+34 037282137,05/04/1999,M,aydiwbrklr@gmail.com,07595,0.0,False,True,False,B1,True,False,Sí,8.41,6.82,8.42,5.5,4.86,Petra
FT086954,7905355,PreZëncial,07126,+34 952099461,14/11/2004,F,sfcohpet@gmail.com,07747,0.0,False,True,False,B2,True,True,Sí,5.69,5.9,NP,,4.62,Santa Eulalia del Río (Santa Eulària des Riu)
ZX033370,1668961,PreZëncial,07431,+34 346624743,05/11/1990,M,vnbbbhx@yahoo.com,07737,0.0,False,True,False,B2,True,True,No,NP,,7.8,7.71,0.0,Palma de Mallorca
23352806D,4871272,PreZëncial,07803,+34 312986223,02/11/1979,F,rpwlcuhss@gmail.com,07950,0.0,False,True,False,C1,True,True,Sí,5.68,8.39,6.5,2.75,9.0,Felanitx
HQ656560,5865511,PreZëncial,07991,+34 733223801,29/11/1986,M,eejknxgs@yahoo.com,07612,0.0,False,True,False,A2,False,False,No,8.91,7.26,7.72,3.08,6.55,Petra
41167026Q,2312414,Certificat digital,07803,+34 813798854,01/06/2005,F,kllim@outlook.com,07038,40.0,False,True,False,B2,True,True,Sí,1.69,10.0,6.1,6.59,NP,Felanitx
55115811Z,1432221,PreZëncial,07516,+34 170973341,20/07/1993,M,afibq@example.com,07121,0.0,False,True,False,B2,True,True,Sí,NP,7.5,,8.41,5.55,Santanyí
98944318C,603103,PreZëncial,07126,+34 393438397,25/09/1985,F,zgxadccj@hotmail.com,07991,0.0,False,True,False,B1,True,True,Si,8.39,7.14,5.13,4.82,10.0,Santa Eulalia del Río (Santa Eulària des Riu)
EB041069,2117105,PreZëncial,07158,+34 743939954,22/01/1986,M,jmnyzs@outlook.com,07657,0.0,False,True,False,B1,True,True,Sí,0.0,8.14,7.74,9.67,8.24,Artà
72894634K,5877348,Certificat digital,07360,+34 241982478,25/08/1989,M,zxiuaem@yahoo.com,07126,0.0,False,True,False,A1,True,False,Sí,9.5,9.22,8.16,1.67,NP,Marratxí
KT138538,458903,PreZëncial,07500,+34 971889380,08/04/1984,F,tivnv@yahoo.com,07747,0.0,False,True,False,C1,True,True,Sí,8.79,9.49,6.04,NP,NP,Campos
05180363G,4130806,Certificat digital,07544,+34 025411309,30/08/1991,M,ombonlg@outlook.com,07158,0.0,False,True,False,B1,True,True,Si,9.59,7.13,NP,6.21,4.5,Lloseta
02238490S,7262727,PreZëncial,07431,+34 590539517,01/04/1977,M,tdrqebm@hotmail.com,07038,0.0,False,True,False,B1,True,False,Sí,8.58,10.0,5.7,1.11,NP,Palma de Mallorca
93889849P,7716943,PreZëncial,07126,+34 130683889,09/09/1986,F,zabdm@yahoo.com,07991,0.0,False,True,False,B1,True,True,Sí,7.86,10.0,7.15,3.96,10.0,Santa Eulalia del Río (Santa Eulària des Riu)
KQ026326,7809833,PreZëncial,07612,+34 312264860,26/04/2001,M,gczxzzhvo@gmail.com,07803,0.0,False,True,False,C1,True,True,Sí,10.0,10.0,7.14,NP,NP,Alaior
05860923V,7634713,PreZëncial,07818,+34 164877007,20/07/1983,F,absekrmvic@yahoo.com,07222,0.0,False,True,False,B2,False,True,Sí,9.72,8.38,6.66,0.0,5.11,Sóller
13712200Z,4319206,Correu electrònic,07612,+34 098465714,23/07/1974,F,tacjmwh@gmail.com,07595,0.0,False,True,False,C1,True,True,Sí,NP,8.82,6.45,3.84,2.33,Alaior
03716829Y,1025333,PreZëncial,07544,+34 763430832,25/06/1997,F,pkiqirgx@yahoo.com,07516,0.0,False,True,False,C1,True,False,Sí,10.0,9.92,NP,6.19,0.0,Lloseta
LI284130,7985613,PreZëncial,07915,+34 009282399,07/06/1996,M,jxbpnmvhk@example.com,07360,13.0,False,True,False,C1,True,True,Sí,9.05,4.97,6.47,6.15,NP,Capdepera
27921363F,7489068,PreZëncial,07595,+34 069941839,05/08/1978,M,bbpucxbgyf@hotmail.com,07805,0.0,False,True,False,B1,True,True,Sí,10.0,7.61,7.28,2.07,9.3,Llucmajor
OE530896,2945924,PreZëncial,07126,+34 563747878,18/09/1980,M,kgxikm@gmail.com,07818,0.0,False,True,False,C1,True,True,Si,0.0,9.29,7.41,4.3,NP,Santa Eulalia del Río (Santa Eulària des Riu)
42949265P,4830329,PreZëncial,07404,+34 675454104,13/01/1986,F,yhfqcmnfjn@outlook.com,07603,0.0,False,True,False,A2,True,False,Sí,10.0,8.15,7.47,0.9,6.74,Sant Antoni de Portmany
81965327C,4081272,Certificat digital,07905,+34 252167091,25/02/1977,M,usiecjd@hotmail.com,07603,0.0,False,True,False,B1,True,True,No,1.58,9.75,,4.24,NP,Sant Joan de Labritja
HY264479,8525644,PreZëncial,07544,+34 304639990,27/06/1976,F,ifovacfju@yahoo.com,07516,0.0,False,True,False,A2,True,True,Sí,2.28,5.36,7.17,NP,4.58,Lloseta
OI811966,1333927,PreZëncial,07494,+34 916032110,10/11/1992,M,tnemguz@yahoo.com,07200,0.0,False,True,False,A1,True,True,Sí,3.12,7.75,9.26,6.06,NP,Sant Llorenç des Cardassar
38826612J,7458766,PreZëncial,07500,+34 728403614,28/08/1999,F,rdiyyhoomh@gmail.com,07950,14.0,False,True,False,C2,True,True,Sí,3.37,8.09,5.77,6.92,NP,Campos
TQ936956,2831368,Certificat digital,07905,+34 136944206,26/01/1974,F,xrnwrrotqa@example.com,07595,0.0,False,True,False,B1,True,True,No,10.0,NP,7.52,4.34,3.33,Sant Joan de Labritja
MH784894,857207,PreZëncial,07737,+34 711303082,04/04/1978,F,kvjfzxzkv@yahoo.com,07158,0.0,False,True,False,B2,True,True,Sí,7.83,10.0,NP,0.29,6.14,Mahón (Maó)
FW786556,4585934,PreZëncial,07038,+34 223388234,27/04/1974,F,bxuvcetc@hotmail.com,07950,0.0,False,True,False,C1,True,True,Sí,7.95,7.45,8.71,3.68,8.96,Consell
50982473Y,4676120,PreZëncial,07950,+34 201545679,29/07/1980,M,pganp@hotmail.com,07915,0.0,False,True,False,B2,True,True,Sí,10.0,8.51,6.61,7.45,8.66,Búger
90858076A,4285286,PreZëncial,07740,+34 931480416,17/11/1998,M,vsillgiyqa@gmail.com,07404,0.0,False,True,False,B1,True,True,Sí,10.0,6.02,5.06,,NP,Ciutadella de Menorca
55572817X,130249,PreZëncial,07805,+34 241678283,05/07/1994,M,mmxeovva@hotmail.com,07200,0.0,False,True,False,C2,True,True,Sí,NP,NP,7.16,8.62,3.83,Ibiza
01301547T,1606452,Certificat digital,07792,+34 936897718,08/11/1975,F,hbuxchyxi@hotmail.com,07805,0.0,False,True,False,B2,True,True,Sí,10.0,6.39,8.05,8.54,7.88,Algaida
FJ300073,5804638,PreZëncial,07158,+34 293732010,22/11/1973,M,phtpwohx@yahoo.com,07404,0.0,False,True,False,B2,True,True,Sí,10.0,6.11,7.61,NP,0.86,Artà
42880516Y,6301978,PreZëncial,07612,+34 720097986,12/05/1984,F,qycxsb@gmail.com,07905,17.0,False,True,False,B1,True,True,Sí,7.45,10.0,NP,,5.73,Alaior
09532906G,7254460,PreZëncial,07737,+34 851959303,13/06/1994,M,roxumzkkx@hotmail.com,07516,0.0,False,True,False,C2,True,True,Sí,4.64,7.27,6.31,0.35,4.41,Mahón (Maó)
FB086484,1269526,PreZëncial,07158,+34 960713807,17/05/1996,M,thmpuxx@yahoo.com,07603,0.0,False,True,False,B1,True,True,Sí,10.0,5.19,9.44,3.96,6.36,Artà
03283970F,980120,PreZëncial,07991,+34 110369246,25/11/1993,F,anbikakdv@outlook.com,07516,0.0,False,True,False,C1,True,True,Sí,6.53,5.77,NP,NP,10.0,Petra
21994963V,1653373,Certificat digital,07200,+34 154737253,05/03/1982,F,ppclguqz@hotmail.com,07126,0.0,False,True,False,B1,True,True,Sí,3.92,8.99,7.05,2.59,3.62,Sant Josep de sa Talaia
LV769984,3076873,PreZëncial,07905,+34 472441531,22/09/1975,F,igzrktbzoi@yahoo.com,07991,0.0,False,True,False,A2,True,True,Sí,2.8,,7.4,9.78,7.14,Sant Joan de Labritja
36752160T,5586435,Certificat digital,07915,+34 054247820,18/05/1999,F,nldcfic@outlook.com,07516,0.0,False,True,False,A2,True,True,Sí,0.0,10.0,7.15,0.29,NP,Capdepera
51862652K,3216044,PreZëncial,07991,+34 614113367,12/10/1994,M,auctyzzvxk@hotmail.com,07991,0.0,False,True,False,C1,True,True,Sí,10.0,4.34,7.09,1.86,NP,Petra
37061709S,2892190,PreZëncial,07404,+34 108408805,23/02/1976,F,zpymgwnka@hotmail.com,07805,0.0,False,True,False,B1,True,True,Sí,0.0,NP,6.9,1.3,NP,Sant Antoni de Portmany
27797364R,1666455,PreZëncial,07792,+34 234802683,05/11/1973,M,rpkgy@outlook.com,07200,0.0,False,True,False,C2,True,False,Sí,1.8,6.93,5.68,0.42,9.73,Algaida
24609314G,7292707,PreZëncial,07431,+34 395121675,07/06/1985,F,vxemkxhpp@gmail.com,07222,0.0,False,True,False,B1,True,True,Sí,NP,6.53,6.12,7.4,3.5,Palma de Mallorca
15792498P,1524100,PreZëncial,07915,+34 385554775,19/07/1981,F,iwljpgphm@example.com,07431,0.0,False,True,False,B1,True,False,Sí,4.2,6.3,NP,,5.67,Capdepera
49329856P,8743436,PreZëncial,07360,+34 126779303,23/11/1974,F,uvlvbvp@yahoo.com,07595,0.0,False,True,False,B1,True,True,Sí,10.0,8.02,,4.68,0.0,Marratxí
56490249H,7416802,PreZëncial,07121,+34 983125634,17/03/1990,M,qscqopcs@gmail.com,07792,0.0,False,True,False,B2,True,True,Sí,3.9,4.76,6.72,9.41,8.98,Alcúdia
14354926M,1450725,PreZëncial,07991,+34 072363886,28/04/1976,M,oluggakm@example.com,07126,0.0,False,True,False,B2,True,True,Sí,0.0,7.06,7.09,0.0,5.14,Petra
VN127552,3643778,PreZëncial,07950,+34 709093855,18/06/1979,M,eneaspyxlx@outlook.com,07038,0.0,False,True,False,C2,True,True,Sí,5.13,8.48,5.71,1.44,6.85,Búger
01244090C,6857022,Certificat digital,07126,+34 583361956,28/07/1986,M,kzhcrgpj@outlook.com,07915,0.0,False,True,False,B1,True,True,Sí,9.64,8.79,NP,NP,5.09,Santa Eulalia del Río (Santa Eulària des Riu)
10548009W,5995919,PreZëncial,07950,+34 247027204,06/05/1985,F,otqcwlc@gmail.com,07516,70.0,True,True,False,A2,True,True,Sí,7.95,8.0,7.07,7.65,0.0,Búger
30656098L,2856745,Correu electrònic,07818,+34 406355262,23/05/1995,M,spkoc@gmail.com,07516,0.0,False,True,False,C1,True,True,Si,7.85,9.29,5.72,7.83,5.85,Sóller
05024296S,7362887,Certificat digital,07740,+34 552732323,07/11/2000,F,shlqual@gmail.com,07603,0.0,False,True,False,A2,True,True,Sí,6.26,NP,7.37,5.1,8.95,Ciutadella de Menorca
65704991V,8594224,PreZëncial,07121,+34 746209781,21/04/1986,F,jxnpfkood@outlook.com,07905,0.0,False,True,False,A2,True,True,Sí,4.25,8.66,6.82,4.28,2.44,Alcúdia
FL036777,1135974,Certificat digital,07792,+34 074830200,03/08/2000,F,anttlforwg@gmail.com,07612,0.0,False,True,False,C2,True,True,Si,10.0,8.39,8.47,,NP,Algaida
53345478Z,2528135,PreZëncial,07991,+34 954646950,04/09/1976,F,dumbafo@yahoo.com,07905,0.0,False,True,False,C1,True,True,No,7.74,,,6.94,6.5,Petra
AC867624,5034680,Certificat digital,07803,+34 727431553,16/12/1998,M,jzyhcxsq@yahoo.com,07740,0.0,False,True,False,A2,True,True,Sí,2.74,8.05,7.52,4.47,7.35,Felanitx
03140726F,8706409,PreZëncial,07595,+34 466973090,25/08/1983,F,mqvvp@yahoo.com,07126,0.0,False,True,False,B1,True,True,No,3.78,NP,NP,0.0,1.15,Llucmajor
LS856465,1826297,PreZëncial,07595,+34 155851385,30/05/1984,M,hkdhplenbr@outlook.com,07818,0.0,False,True,False,B1,True,True,No,5.95,9.19,6.03,5.0,10.0,Llucmajor
FR936670,8295873,PreZëncial,07360,+34 638486434,13/11/1992,M,cuaicj@example.com,07158,0.0,False,True,False,B2,True,True,Sí,6.38,7.65,7.97,,9.84,Marratxí
63471462H,3745488,PreZëncial,07544,+34 113225363,02/05/1998,F,bmsfor@gmail.com,07792,0.0,False,True,False,B1,True,True,Sí,8.68,10.0,NP,5.37,4.22,Lloseta
88438594Y,9290766,PreZëncial,07915,+34 081036713,13/02/1997,M,meabgqdc@example.com,07792,0.0,False,True,False,B2,True,True,Sí,8.12,7.07,8.03,9.64,NP,Capdepera
60986177K,6621761,PreZëncial,07222,+34 949259478,09/09/1999,M,anerqw@yahoo.com,07603,0.0,False,True,False,B2,True,True,No,10.0,5.03,8.12,NP,8.06,Pollença
28493223H,5518624,PreZëncial,07915,+34 196043037,13/11/1995,M,qdedibputr@hotmail.com,07158,0.0,False,True,False,A2,True,True,Sí,6.67,6.06,6.77,2.64,10.0,Capdepera
KG754151,984810,Certificat digital,07516,+34 298219469,29/09/2000,M,zeweqjvf@gmail.com,07126,0.0,False,True,False,A2,True,True,Sí,9.43,6.63,5.5,7.38,7.62,Santanyí
BI194009,6151547,PreZëncial,07737,+34 204743251,21/09/2004,F,umihi@gmail.com,07431,20.0,False,True,False,C2,True,False,Sí,6.31,7.1,8.33,0.45,10.0,Mahón (Maó)
MF444736,4560708,PreZëncial,07803,+34 383295545,03/04/1986,F,zyjntekvts@yahoo.com,07595,0.0,False,True,False,A2,True,True,Sí,10.0,5.2,6.77,NP,NP,Felanitx
66075342E,239068,PreZëncial,07595,+34 023237781,13/04/2005,F,uluzbwlq@example.com,07431,0.0,False,True,False,C1,True,True,Si,10.0,8.59,6.85,0.63,5.44,Llucmajor
JA827987,3608911,PreZëncial,07121,+34 175926246,12/12/1987,M,tybxa@hotmail.com,07494,18.0,False,True,False,B2,True,True,Sí,7.6,9.42,5.19,NP,0.82,Alcúdia
46427511X,7666591,PreZëncial,07222,+34 401833451,13/05/1977,F,fzxqdqayx@hotmail.com,07915,0.0,False,True,False,B1,True,False,Si,3.81,7.13,8.83,6.1,,Pollença
25948807T,6160143,Certificat digital,07915,+34 294064296,08/04/1991,M,fjrkslro@gmail.com,07431,0.0,False,True,False,B2,True,True,Sí,4.23,10.0,8.28,1.52,9.36,Capdepera
34645142N,4298274,PreZëncial,07200,+34 295948582,02/06/1988,M,zuskvvixcs@example.com,07494,0.0,False,True,False,A2,True,True,Sí,4.27,8.74,6.0,5.26,6.36,Sant Josep de sa Talaia
15912158E,7965946,PreZëncial,07360,+34 606711192,01/02/1987,M,fdugxvuxh@yahoo.com,07603,0.0,False,True,False,C1,True,True,Sí,NP,7.64,6.19,3.36,10.0,Marratxí
42880516Y,2880686,Certificat digital,07792,+34 229126075,09/12/1980,F,ytcbzp@gmail.com,07612,0.0,False,True,False,C1,True,True,Sí,3.28,7.66,5.85,5.2,4.25,Algaida
23542691Y,5565720,PreZëncial,07805,+34 735524380,16/06/1993,M,qowsvl@yahoo.com,07603,0.0,False,True,False,B2,True,True,No,10.0,9.32,6.94,10.0,4.14,Ibiza
85029568V,8551159,Certificat digital,07805,+34 423305560,04/04/2003,F,hhacribxw@outlook.com,07200,0.0,False,True,False,A2,True,False,Sí,8.53,9.01,5.47,NP,9.58,Ibiza
84673798B,5137268,PreZëncial,07200,+34 585350555,14/01/1977,M,dbziggnie@outlook.com,07991,0.0,False,True,False,C1,True,True,Sí,0.0,NP,NP,10.0,NP,Sant Josep de sa Talaia
NO194053,9141770,PreZëncial,07544,+34 024044436,17/04/1983,M,fgnahutanz@outlook.com,07494,0.0,False,True,False,B1,False,True,Sí,4.86,5.74,7.58,10.0,3.81,Lloseta
18456077A,4647479,Certificat digital,07222,+34 038928984,24/11/1973,F,cdyumpb@hotmail.com,07494,0.0,False,True,False,B1,True,True,No,0.09,7.25,NP,2.17,10.0,Pollença
60234960F,3863371,PreZëncial,07404,+34 740410062,21/02/1986,M,yxpvdkt@hotmail.com,07121,0.0,False,True,False,C1,True,False,No,4.23,10.0,NP,4.74,3.3,Sant Antoni de Portmany
VU292540,208765,PreZëncial,07121,+34 939571409,10/11/1995,F,nitedbh@gmail.com,07657,0.0,False,True,False,C1,True,True,Sí,0.0,NP,5.79,10.0,10.0,Alcúdia
23549868F,5066525,PreZëncial,07500,+34 433611904,27/11/1984,M,kkjohruqf@yahoo.com,07818,0.0,False,True,False,B1,True,True,No,10.0,8.49,NP,NP,5.1,Campos
ID702959,6798967,Certificat digital,07126,+34 920990942,30/07/1974,M,eorqrzga@yahoo.com,07516,0.0,False,True,False,C2,True,True,Si,10.0,4.12,7.98,4.54,NP,Santa Eulalia del Río (Santa Eulària des Riu)
84149617T,7910375,Certificat digital,07516,+34 333364618,31/08/1978,F,bdcmwwqhfo@hotmail.com,07126,0.0,False,True,False,A2,True,True,Sí,10.0,8.01,8.74,NP,NP,Santanyí
03405623J,6991765,Correu electrònic,07603,+34 084027645,29/07/2004,F,pdmlplgok@hotmail.com,07603,0.0,False,True,False,B2,True,True,Sí,3.71,7.38,NP,,3.37,Son Servera
84979016L,4381628,Certificat digital,07404,+34 239961587,30/12/1974,M,jdegnluzx@outlook.com,07818,0.0,False,True,False,B2,True,True,Sí,2.98,8.07,9.37,7.87,6.52,Sant Antoni de Portmany
62394440V,6841327,PreZëncial,07158,+34 088734972,29/06/2005,M,ppcappkef@gmail.com,07603,0.0,False,True,False,B1,True,True,Sí,1.8,9.3,6.08,1.63,1.42,Artà
BI289429,6208622,PreZëncial,07905,+34 200080600,15/06/1976,M,qwzri@hotmail.com,07516,0.0,False,True,False,A2,True,True,No,6.0,5.95,6.33,,1.75,Sant Joan de Labritja
30865218T,6166181,PreZëncial,07818,+34 447214271,31/05/1985,M,fvwumqicj@example.com,07494,0.0,False,True,False,A2,True,True,Si,5.84,8.7,5.56,2.8,7.25,Sóller
NX379438,896082,PreZëncial,07222,+34 724795767,01/10/1993,M,zwtzkg@gmail.com,07657,0.0,False,True,False,A2,True,True,Sí,2.69,6.26,7.51,NP,4.38,Pollença
14122511M,9150080,PreZëncial,07121,+34 630697678,20/09/1977,F,hazvnwfyjq@outlook.com,07603,0.0,False,True,False,B1,True,False,Sí,10.0,8.35,7.4,8.21,,Alcúdia
03203571Q,1462257,PreZëncial,07905,+34 312582117,06/07/2001,F,ltivinvrqd@example.com,07500,16.0,False,True,False,C1,True,True,Sí,9.98,6.26,8.71,2.95,6.19,Sant Joan de Labritja
19604567B,198004,Certificat digital,07121,+34 012896388,18/01/2002,M,sotar@gmail.com,07915,0.0,False,True,False,B2,True,True,Sí,NP,9.15,6.03,1.12,4.67,Alcúdia
28201528D,2946435,PreZëncial,07805,+34 323220607,31/12/1984,F,fvinkfex@hotmail.com,07612,0.0,False,True,False,B2,True,True,Sí,6.51,7.17,6.97,4.62,9.58,Ibiza
63138415B,4679576,PreZëncial,07121,+34 393598999,30/03/2004,M,skcbe@gmail.com,07360,0.0,False,True,False,B1,True,True,Sí,0.0,6.56,8.27,6.5,1.83,Alcúdia
43660176N,5586756,PreZëncial,07818,+34 992970502,02/03/1999,M,ridfxecx@gmail.com,07603,0.0,False,True,False,C1,True,True,No,10.0,9.99,7.55,7.77,5.16,Sóller
90910322Q,306765,PreZëncial,07431,+34 780489429,19/02/2001,M,rqlpj@yahoo.com,07740,0.0,False,True,False,B1,True,False,Sí,NP,6.38,5.63,,1.63,Palma de Mallorca
32836612H,502138,Correu electrònic,07158,+34 080889663,04/10/1983,M,nzmixwmslh@example.com,07516,0.0,False,True,False,A2,True,True,Sí,0.0,6.27,7.94,10.0,5.36,Artà
77961525N,2174088,PreZëncial,07657,+34 484192003,13/12/2004,M,hflxygdlf@yahoo.com,07544,25.0,False,True,False,C1,True,True,No,0.0,NP,5.77,6.05,1.96,Ses Salines
34814065T,2642652,Certificat digital,07516,+34 469830414,18/06/1975,F,lowlf@gmail.com,07805,0.0,False,True,False,C1,True,True,No,5.49,10.0,7.93,3.43,4.87,Santanyí
IW204132,1142276,PreZëncial,07950,+34 939478569,23/05/2001,M,ojnujeirkl@hotmail.com,07158,0.0,False,True,False,B1,True,True,Sí,NP,8.65,6.7,1.45,10.0,Búger
33434213X,973603,Certificat digital,07818,+34 810293995,24/02/1990,M,gcczutmryi@gmail.com,07657,0.0,False,True,False,B1,True,True,Sí,10.0,,6.4,,,Sóller
44006093D,2789472,Certificat digital,07603,+34 464789644,09/01/1994,F,mtbyixv@yahoo.com,07158,0.0,False,True,False,B2,True,True,Sí,10.0,,7.55,0.12,0.0,Son Servera
64251860A,3477307,Correu electrònic,07657,+34 591317389,28/08/1989,F,irvbvlp@outlook.com,07905,13.0,False,True,False,B2,True,False,Sí,10.0,9.48,9.07,5.8,2.99,Ses Salines
XF502058,7020779,Correu electrònic,07494,+34 479065120,06/09/2001,F,knbkbufgye@yahoo.com,07818,0.0,False,True,False,B1,True,True,Sí,0.27,NP,6.36,3.77,5.8,Sant Llorenç des Cardassar
ZB312857,5320621,PreZëncial,07431,+34 725100578,21/05/1996,M,tvdefprey@outlook.com,07747,0.0,False,True,False,A1,True,True,Sí,2.17,5.84,7.32,NP,5.5,Palma de Mallorca
PC341156,6401318,PreZëncial,07121,+34 913293017,28/11/1981,M,qynvo@yahoo.com,07792,0.0,False,True,False,B1,True,True,Sí,2.91,NP,7.61,4.54,7.11,Alcúdia
29529962D,1692231,PreZëncial,07595,+34 600897280,10/08/2005,F,iwcwnuu@gmail.com,07494,0.0,False,True,False,C2,True,True,Sí,0.0,7.23,7.15,0.0,NP,Llucmajor
78835274Z,5727854,PreZëncial,07121,+34 121757684,08/03/1991,M,rrlhbw@hotmail.com,07603,0.0,False,True,False,C1,True,True,Sí,10.0,10.0,7.06,9.49,6.72,Alcúdia
06009181V,5302139,PreZëncial,07818,+34 479849315,20/03/1985,M,oljiw@outlook.com,07516,0.0,False,True,False,A2,True,False,Sí,2.95,6.62,7.24,4.84,NP,Sóller
IB455180,8844387,PreZëncial,07603,+34 108330753,21/09/2005,M,afecnn@outlook.com,07805,43.0,False,True,False,B2,True,True,Sí,7.16,9.87,NP,1.11,8.59,Son Servera
UX822752,7965777,PreZëncial,07740,+34 240837472,03/06/1981,F,ckvhoum@example.com,07803,0.0,False,True,False,A2,True,True,Sí,5.99,9.66,8.29,0.87,1.28,Ciutadella de Menorca
93434614N,769991,PreZëncial,07950,+34 293111783,15/05/1985,F,xwpfwb@example.com,07818,0.0,False,True,False,B2,True,True,Sí,10.0,8.0,8.16,4.67,5.88,Búger
